udprn,versiondate,versionavailablefromdate,versionavailabletodate,changetype,theme,description,organisationname,departmentname,subbuildingname,buildingname,buildingnumber,dependentthoroughfare,thoroughfare,doubledependentlocality,dependentlocality,posttown,postcode,postcodetype,deliverypointsuffix,welshdependentthoroughfare,welshthoroughfare,welshdoubledependentlocality,welshdependentlocality,welshposttown,poboxnumber,updatedate,entrydate,easting,northing,latitude,longitude,positionalaccuracy,geometryallocationmethod,unmatchedreason,unmatchedreasondate,uprn,matchedaddressfeaturetype,matchtype,matchdate,matchmethod,matchingorganisation
26394069,2025-09-23,2025-09-24 00:00:00.000000,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,57,NULL,WOODMOOR ROAD,NULL,NULL,WAKEFIELD,WF2 7QD,Small User,1Q,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,432541.02,416166.86,53.6410272,-1.5092809,Central Internal Position,Matched UPRN,NULL,NULL,63129266,Built Address,Direct,2012-04-23,Automated,GeoPlace
26394106,2025-09-23,2025-09-24 00:00:00.000000,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,39,NULL,WOODMOOR ROAD,NULL,NULL,WAKEFIELD,WF2 7QE,Small User,1T,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,432631.70,416171.59,53.6410641,-1.5079089,Central Internal Position,Matched UPRN,NULL,NULL,63129248,Built Address,Direct,2012-04-23,Automated,GeoPlace
25036243,2025-09-23,2025-09-24 00:00:00.000000,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,PENDLE COTTAGE,NULL,NULL,HIGHGATE HILL,NULL,INDIAN QUEENS,ST. COLUMB,TR9 6LY,Small User,1B,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,191951.00,59011.00,50.3940655,-4.9285366,Central Internal Position,Matched UPRN,NULL,NULL,100040151313,Built Address,Direct,2012-04-23,Automated,GeoPlace
25038261,2025-09-23,2025-09-24 00:00:00.000000,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,25,NULL,PERMARIN ROAD,NULL,NULL,PENRYN,TR10 8BU,Small User,1W,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,178418.00,34597.00,50.1698777,-5.1043460,Central Internal Position,Matched UPRN,NULL,NULL,100040035918,Built Address,Direct,2012-04-23,Automated,GeoPlace
25038359,2025-09-23,2025-09-24 00:00:00.000000,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,18,NULL,TRURO HILL,NULL,NULL,PENRYN,TR10 8DB,Small User,1J,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,178360.00,34790.00,50.1715892,-5.1052694,Central Internal Position,Matched UPRN,NULL,NULL,100040036554,Built Address,Direct,2012-04-23,Automated,GeoPlace
25038620,2025-09-23,2025-09-24 00:00:00.000000,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,27,NULL,HIGHER MARKET STREET,NULL,NULL,PENRYN,TR10 8EF,Small User,1E,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,178497.00,34384.00,50.1679944,-5.1031174,Central Internal Position,Matched UPRN,NULL,NULL,100041204569,Built Address,Direct,2012-04-23,Automated,GeoPlace
25039011,2025-09-23,2025-09-24 00:00:00.000000,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,24,NULL,WESTERN PLACE,NULL,NULL,PENRYN,TR10 8HQ,Small User,1W,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,177914.00,34940.00,50.1727692,-5.1115931,Central Internal Position,Matched UPRN,NULL,NULL,100040036766,Built Address,Direct,2012-04-23,Automated,GeoPlace
25039091,2025-09-23,2025-09-24 00:00:00.000000,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,2,NULL,ST. GLUVIAS PARC,NULL,NULL,PENRYN,TR10 8HZ,Small User,1B,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,178531.00,34858.00,50.1722638,-5.1029180,Central Internal Position,Matched UPRN,NULL,NULL,100040036306,Built Address,Direct,2012-04-23,Automated,GeoPlace
25039773,2025-09-23,2025-09-24 00:00:00.000000,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,22,NULL,KERNICK ROAD,NULL,NULL,PENRYN,TR10 8NT,Small User,1B,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,177747.00,34298.00,50.1669411,-5.1135532,Central Internal Position,Matched UPRN,NULL,NULL,100040035507,Built Address,Direct,2012-04-23,Automated,GeoPlace
25039867,2025-09-23,2025-09-24 00:00:00.000000,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,30,NULL,SHUTE MEADOW,NULL,NULL,PENRYN,TR10 8PE,Small User,2L,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,178129.00,34322.00,50.1672998,-5.1082265,Central Internal Position,Matched UPRN,NULL,NULL,100040036253,Built Address,Direct,2012-04-23,Automated,GeoPlace
6192959,2025-09-23,2025-09-24 00:00:00.000000,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,140,NULL,ST. ALBANS ROAD,NULL,NULL,DARTFORD,DA1 1TZ,Small User,2Q,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,554915.00,174281.00,51.4463339,0.2278750,Central Internal Position,Matched UPRN,NULL,NULL,100060873968,Built Address,Direct,2012-04-23,Automated,GeoPlace
6193126,2025-09-23,2025-09-24 00:00:00.000000,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,14,NULL,ST. MARTINS ROAD,NULL,NULL,DARTFORD,DA1 1UJ,Small User,1G,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,554863.00,174208.00,51.4456922,0.2270954,Central Internal Position,Matched UPRN,NULL,NULL,100060874167,Built Address,Direct,2012-04-23,Automated,GeoPlace
6193740,2025-09-23,2025-09-24 00:00:00.000000,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,34,NULL,HOWARD ROAD,NULL,NULL,DARTFORD,DA1 1XH,Small User,1Z,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,555311.70,174085.56,51.4444692,0.2334933,Central Internal Position,Matched UPRN,NULL,NULL,100060864566,Built Address,Direct,2012-04-23,Automated,GeoPlace
6193960,2025-09-23,2025-09-24 00:00:00.000000,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,17,NULL,HOWARD ROAD,NULL,NULL,DARTFORD,DA1 1XS,Small User,1J,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,555320.98,174120.58,51.4447813,0.2336421,Central Internal Position,Matched UPRN,NULL,NULL,100060864549,Built Address,Direct,2012-04-23,Automated,GeoPlace
25040877,2025-09-23,2025-09-24 00:00:00.000000,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,2 PLOUGH COURT,NULL,NULL,NULL,NULL,ROSKROW,PENRYN,TR10 9AP,Small User,1P,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,176404.00,35805.00,50.1799692,-5.1332151,Central Internal Position,Matched UPRN,NULL,NULL,10007799283,Built Address,Direct,2012-04-23,Automated,GeoPlace
25041826,2025-09-23,2025-09-24 00:00:00.000000,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,50,NULL,SUMMERHEATH,NULL,MABE BURNTHOUSE,PENRYN,TR10 9JT,Small User,3L,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,176645.15,34186.67,50.1655271,-5.1288927,Central Internal Position,Matched UPRN,NULL,NULL,100040069532,Built Address,Direct,2012-04-23,Automated,GeoPlace
6194771,2025-09-23,2025-09-24 00:00:00.000000,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,115,NULL,PRIORY ROAD,NULL,NULL,DARTFORD,DA1 2BN,Small User,1U,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,553898.00,174693.00,51.4503132,0.2134306,Central Internal Position,Matched UPRN,NULL,NULL,200000530508,Built Address,Direct,2012-04-23,Automated,GeoPlace
6194866,2025-09-23,2025-09-24 00:00:00.000000,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,72,NULL,PRIORY ROAD,NULL,NULL,DARTFORD,DA1 2BS,Small User,2Y,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,553802.00,174923.00,51.4524060,0.2121500,Central Internal Position,Matched UPRN,NULL,NULL,200000530467,Built Address,Direct,2012-04-23,Automated,GeoPlace
25042206,2025-09-23,2025-09-24 00:00:00.000000,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,5,NULL,CLAREMONT TERRACE,NULL,NULL,FALMOUTH,TR11 2AJ,Small User,1H,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,180466.00,33193.00,50.1580313,-5.0749002,Central Internal Position,Matched UPRN,NULL,NULL,10001210218,Built Address,Direct,2013-11-20,Automated,GeoPlace
25042926,2025-09-23,2025-09-24 00:00:00.000000,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,1,NULL,DRACAENA AVENUE,NULL,NULL,FALMOUTH,TR11 2EE,Small User,1A,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,180200.00,32446.00,50.1512242,-5.0781875,Central Internal Position,Matched UPRN,NULL,NULL,100040027489,Built Address,Direct,2012-04-23,Automated,GeoPlace
36,2025-09-23,2025-09-24 00:00:00.000000,NULL,New,Address,Postcode Address File,LINTON MAC,NULL,NULL,NULL,18,NULL,NETHERKIRKGATE,NULL,NULL,ABERDEEN,AB10 1AU,Small User,2L,NULL,NULL,NULL,NULL,NULL,NULL,2016-05-18,2016-05-18,394282.00,806326.00,57.1477671,-2.0961415,Central Internal Position,Matched UPRN,NULL,NULL,9051081493,Built Address,Direct,2012-04-23,Unknown,GeoPlace
27,2025-09-23,2025-09-24 00:00:00.000000,NULL,New,Address,Postcode Address File,NULL,NULL,FLAT 4,NULL,16,NULL,NETHERKIRKGATE,NULL,NULL,ABERDEEN,AB10 1AU,Small User,1U,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,394280.00,806334.00,57.1478389,-2.0961748,Central Internal Position,Matched UPRN,NULL,NULL,9051082084,Built Address,Direct,2012-04-23,Automated,GeoPlace
17,2025-09-23,2025-09-24 00:00:00.000000,NULL,New,Address,Postcode Address File,CITY BOAR,NULL,NULL,NULL,37,NULL,NETHERKIRKGATE,NULL,NULL,ABERDEEN,AB10 1AU,Small User,2R,NULL,NULL,NULL,NULL,NULL,NULL,2019-06-25,2019-06-25,394257.00,806299.00,57.1475242,-2.0965541,Central Internal Position,Matched UPRN,NULL,NULL,9051082079,Built Address,Direct,2013-12-10,Unknown,GeoPlace
54335424,2025-09-23,2025-09-24 00:00:00.000000,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,55,NULL,NETHERKIRKGATE,NULL,NULL,ABERDEEN,AB10 1AU,Small User,3G,NULL,NULL,NULL,NULL,NULL,NULL,2018-01-17,2018-01-17,394218.08,806284.68,57.1473951,-2.0971969,Central Internal Position,Matched UPRN,NULL,NULL,9051138234,Built Address,Direct,2016-05-18,Automated,GeoPlace
16,2025-09-23,2025-09-24 00:00:00.000000,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,14,NULL,NETHERKIRKGATE,NULL,NULL,ABERDEEN,AB10 1AU,Small User,3F,NULL,NULL,NULL,NULL,NULL,NULL,2022-11-14,2018-09-25,394290.00,806333.00,57.1478301,-2.0960095,Central Internal Position,Matched UPRN,NULL,NULL,9051081497,Built Address,Direct,2014-03-04,Automated,GeoPlace
21,2025-09-23,2025-09-24 00:00:00.000000,NULL,New,Address,Postcode Address File,NULL,NULL,FLAT 12,NULL,16,NULL,NETHERKIRKGATE,NULL,NULL,ABERDEEN,AB10 1AU,Small User,2E,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,394280.00,806334.00,57.1478389,-2.0961748,Central Internal Position,Matched UPRN,NULL,NULL,9051082092,Built Address,Direct,2012-04-23,Automated,GeoPlace
19,2025-09-23,2025-09-24 00:00:00.000000,NULL,New,Address,Postcode Address File,NULL,NULL,FLAT 10,NULL,16,NULL,NETHERKIRKGATE,NULL,NULL,ABERDEEN,AB10 1AU,Small User,2B,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,394280.00,806334.00,57.1478389,-2.0961748,Central Internal Position,Matched UPRN,NULL,NULL,9051082090,Built Address,Direct,2012-04-23,Automated,GeoPlace
23,2025-09-23,2025-09-24 00:00:00.000000,NULL,New,Address,Postcode Address File,NULL,NULL,FLAT 14,NULL,16,NULL,NETHERKIRKGATE,NULL,NULL,ABERDEEN,AB10 1AU,Small User,2G,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,394280.00,806334.00,57.1478389,-2.0961748,Central Internal Position,Matched UPRN,NULL,NULL,9051082094,Built Address,Direct,2012-04-23,Automated,GeoPlace
26,2025-09-23,2025-09-24 00:00:00.000000,NULL,New,Address,Postcode Address File,NULL,NULL,FLAT 3,NULL,16,NULL,NETHERKIRKGATE,NULL,NULL,ABERDEEN,AB10 1AU,Small User,1T,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,394280.00,806334.00,57.1478389,-2.0961748,Central Internal Position,Matched UPRN,NULL,NULL,9051082046,Built Address,Direct,2012-04-23,Automated,GeoPlace
31,2025-09-23,2025-09-24 00:00:00.000000,NULL,New,Address,Postcode Address File,NULL,NULL,FLAT 8,NULL,16,NULL,NETHERKIRKGATE,NULL,NULL,ABERDEEN,AB10 1AU,Small User,1Z,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,394280.00,806334.00,57.1478389,-2.0961748,Central Internal Position,Matched UPRN,NULL,NULL,9051082088,Built Address,Direct,2012-04-23,Automated,GeoPlace
53248901,2025-09-23,2025-09-24 00:00:00.000000,NULL,New,Address,Postcode Address File,NULL,NULL,NULL,NULL,26,NULL,NETHERKIRKGATE,NULL,NULL,ABERDEEN,AB10 1AU,Small User,2T,NULL,NULL,NULL,NULL,NULL,NULL,2016-08-10,2016-08-10,394261.00,806324.00,57.1477489,-2.0964885,Central Internal Position,Matched UPRN,NULL,NULL,9051081485,Built Address,Direct,2018-11-01,Automated,GeoPlace
30,2025-09-23,2025-09-24 00:00:00.000000,NULL,New,Address,Postcode Address File,NULL,NULL,FLAT 7,NULL,16,NULL,NETHERKIRKGATE,NULL,NULL,ABERDEEN,AB10 1AU,Small User,1Y,NULL,NULL,NULL,NULL,NULL,NULL,2016-01-18,2016-01-18,394280.00,806334.00,57.1478389,-2.0961748,Central Internal Position,Matched UPRN,NULL,NULL,9051082087,Built Address,Direct,2012-04-23,Automated,GeoPlace
